,states,states,states,states,states,states,costs,costs,costs,costs,costs,costs,costs,costs,control,parameters,parameters,parameters,parameters
,T_room,T_surf_wall,T_op,T_mass,T_surf_floor,T_hp_ret,dev_neg_sum,dev_neg_max,dev_pos_sum,dev_pos_max,P_el,E_el,COP,Qdot_th,T_hp_sup,T_amb,Qdot_gains,Qdot_sol,Qdot_int
2016-06-28 08:00:00,26.391960422069616,25.557921318257137,26.2672693210219,25.37288010189554,27.440730769697545,28.769401016528438,0.0,0.0,0.11269322485689556,0.45760443295394637,5.350340546268486,1.3375851365671214,6.549499553536393,35.04205301905311,28.769401016528438,22.6,7799.202500685246,6867.502500685247,931.7
2016-06-28 08:15:00,26.408181103868824,25.626355566253643,26.286490812610005,25.459395006706373,27.31921611663965,28.494904020530544,0.0,0.0,0.10600574777950796,0.4289391540152039,3.1403460071279645,0.7850865017819911,6.797624003005951,21.34689139579695,28.494904020530544,22.6,7799.202500685246,6867.502500685247,931.7
2016-06-28 08:30:00,26.38422236971796,25.687684707211147,26.276000157579794,25.542597704421173,27.198771006419356,28.239568682041067,0.0,0.0,0.101478528221613,0.40818110386882367,3.5730992799722734,0.8932748199930683,6.839037515919211,24.436560023834296,28.239568682041067,22.6,7799.202500685246,6867.502500685247,931.7
2016-06-28 08:45:00,26.36174302770513,25.744146573019826,26.2659858316659,25.621524046732905,27.086972678515263,28.011628399737777,0.0,0.0,0.09541720241803489,0.38422236971796053,3.6756224669450517,0.9189056167362629,6.877706206726484,25.279851454491293,28.011628399737777,22.6,7799.202500685246,6867.502500685247,931.7
2016-06-28 09:00:00,26.34389626038479,25.797821583047053,26.259440472370805,25.696160192921305,26.98832081085716,27.809172581759057,0.0,0.0,0.08991346922337357,0.3617430277051312,3.2614477612847637,0.8153619403211909,6.912345084974776,22.54425240261872,27.809172581759057,24.3,10251.816640527066,9804.116640527065,447.7
2016-06-28 09:15:00,26.36220415742019,25.892015322288465,26.289453009911057,25.81930485129393,26.916597867744198,27.630900461452303,0.0,0.0,0.08691421332719029,0.36220415742019085,2.0784608334137746,0.5196152083534437,7.147805327451643,14.85643341797456,27.630900461452303,24.3,10251.816640527066,9804.116640527065,447.7
2016-06-28 09:30:00,26.38608689332158,25.98748905128691,26.324779310595293,25.93711932564566,26.861565599548644,27.476630869679923,0.0,0.0,0.09110406500502707,0.3860868933215791,2.507277592844444,0.626819398211111,7.175616263318139,17.991261871867746,27.476630869679923,24.3,10251.816640527066,9804.116640527065,447.7
2016-06-28 09:45:00,26.415145485773877,26.081199045170905,26.364195716297615,26.050343603402098,26.819711485740356,27.344412595542867,0.0,0.0,0.09723803940560174,0.415145485773877,2.1772088372582217,0.5443022093145554,7.1997381445797775,15.675333514324205,27.344412595542867,24.3,10251.816640527066,9804.116640527065,447.7
2016-06-28 10:00:00,26.44825027111886,26.172725166631015,26.406681703343995,26.15939444725656,26.78905962020337,27.232172402126853,0.0,0.0,0.1046310126969205,0.44825027111885873,1.8697281843323212,0.4674320460830803,7.220452949910302,13.500284384092742,27.232172402126853,25.7,11298.753907516124,10851.053907516123,447.7
2016-06-28 10:15:00,26.5471739698323,26.295438822474935,26.50529515502628,26.29314212337472,26.800064763492752,27.150158323949345,0.0,0.0,0.11978650638287727,0.5471739698323006,0.5622663883739569,0.14056659709348923,7.409018820076812,4.165842253359265,27.150158323949345,25.7,11298.753907516124,10851.053907516123,447.7
