Time,Residualload2023,Residualload2033,Residualload2030
28798200,69799.60282,66313.80093,54.5595
28799100,70550.08509,67318.53923,55.33225
28800000,71082.92083,68105.631,56.105
28800900,70842.66363,67858.04221,56.08875
28801800,70523.37278,67531.41977,56.0725
28802700,70165.83627,67166.55167,56.05625
28803600,69810.62102,66804.00484,56.04
28804500,67315.84763,64117.24111,54.1155
28805400,64892.03873,61501.44185,52.191
28806300,62567.2706,58984.68338,50.2665
28807200,60369.61955,56595.04197,48.342
28808100,60228.46628,56471.92298,47.63825
28809000,60132.52248,56394.01346,46.9345
28809900,59971.80425,56251.32949,46.23075
28810800,59636.54875,55934.10827,45.527
28811700,59291.08127,55531.65718,44.71675
28812600,58749.85351,54933.44581,43.9065
28813500,58102.06848,54228.67718,43.09625
28814400,57436.26599,53505.89108,42.286
28815300,56894.8782,52805.46087,42.9965
28816200,56386.983,52138.52325,43.707
28817100,55875.10848,51467.60632,44.4175
28818000,55321.56167,50755.01709,45.128
28818900,55431.85299,50813.80108,46.99875
28819800,55511.96783,50842.40858,48.8695
28820700,55610.54227,50889.4757,50.74025
28821600,55776.4335,51003.85959,52.611
28822500,55318.32326,50352.5016,52.91875
28823400,54985.78258,49826.71316,53.2265
28824300,54788.20707,49435.88989,53.53425
28825200,54734.77126,49189.20632,53.842
28826100,58477.07026,53308.94745,56.98625
28827000,62369.699,57579.01833,60.1305
28827900,66409.56248,61996.32393,63.27475
28828800,70593.34458,66557.54816,66.419
28829700,71611.23524,67663.08643,67.71275
28830600,72626.47301,68765.97181,69.0065
28831500,73495.47088,69722.6173,70.30025
28832400,74074.86292,70389.65695,71.594
28833300,74085.39735,70370.18466,71.37975
28834200,73779.68663,70034.46721,71.1655
28835100,73274.89952,69499.67337,70.95125
28836000,72687.76266,68882.52978,70.737
28836900,72213.57954,68461.33548,70.21525
28837800,71713.08872,68013.83348,69.6935
28838700,71125.60561,67479.33918,69.17175
28839600,70390.22455,66796.94693,68.65
28840500,69392.17979,65815.03055,67.71
28841400,68267.1285,64706.10763,66.77
28842300,67096.64667,63551.75418,65.83
28843200,65962.75245,62433.98833,64.89
28844100,64773.44978,61139.07963,63.62875
28845000,63705.84789,59965.8717,62.3675
28845900,62763.48394,58917.90172,61.10625
28846800,61949.89511,57998.70686,59.845
28847700,61183.59344,57056.8298,58.583
28848600,60447.35771,56145.0187,57.321
28849500,59638.49945,55160.58506,56.059
28850400,58654.77232,54001.28256,54.797
28851300,57387.89121,52566.49138,52.8155
28852200,55934.8665,50945.5566,50.834
28853100,54386.55925,49229.33928,48.8525
28854000,52834.05161,47508.92158,46.871
28854900,51564.44889,46221.88936,45.07525
28855800,50383.71757,45023.72854,43.2795
28856700,49293.73679,43916.31826,41.48375
28857600,48296.60673,42901.75871,39.688
28858500,47748.43479,42567.30791,38.8655
28859400,47297.31397,42329.90824,38.043
28860300,46945.34446,42191.65988,37.2205
28861200,46694.84753,42154.8841,36.398
28862100,46265.81332,41768.57984,35.28175
28863000,45918.13402,41463.6305,34.1655
28863900,45629.37073,41217.59717,33.04925
28864800,45377.0845,41008.0409,31.933
28865700,44941.53161,40460.85823,30.93025
28866600,44535.16038,39942.85722,29.9275
28867500,44172.78271,39468.84977,28.92475
28868400,43869.43157,39053.86885,27.922
28869300,43889.9053,39117.22322,27.24875
28870200,43946.19288,39216.39145,26.5755
28871100,43999.82758,39312.90679,25.90225
28872000,44012.78482,39368.74468,25.229
28872900,43905.85877,39308.57217,24.7365
28873800,43744.43819,39193.90514,24.244
28874700,43552.73059,39048.95108,23.7515
28875600,43355.38563,38898.35965,23.259
28876500,43117.7197,38627.0358,24.365
28877400,42979.31562,38454.9738,25.471
28878300,43020.75456,38462.75482,26.577
28879200,43322.39662,38730.73895,27.683
28880100,44142.54337,39650.86882,28.09775
28881000,45207.0865,40815.39507,28.5125
28881900,46419.30651,42127.5982,28.92725
28882800,47682.70496,43490.97976,29.342
28883700,48927.68964,44895.50822,28.7515
28884600,50133.43385,46260.79619,28.161
28885500,51305.68546,47592.59157,27.5705
28886400,52450.63454,48897.08442,26.98
28887300,53370.81608,49998.99575,25.79375
28888200,54249.10425,51059.01371,24.6075
28889100,55065.04979,52056.68903,23.42125
28890000,55797.98235,52971.35139,22.235
28890900,54737.25469,51815.7996,21.52425
28891800,53572.84371,50556.56449,20.8135
28892700,52304.74942,49193.64607,20.10275
28893600,50932.75074,47726.82327,19.392
28894500,50809.64409,47452.76051,19.5015
28895400,50604.07715,47096.23746,19.611
28896300,50337.49402,46678.69822,19.7205
28897200,50031.3388,46221.58688,19.83
28898100,49892.34775,45961.73756,19.833
28899000,49695.98821,45644.51975,19.836
28899900,49403.24078,45230.91405,19.839
28900800,48974.64389,44681.45888,19.842
28901700,48774.4503,44590.72734,20.4575
28902600,48473.8895,44399.62859,21.073
28903500,48147.3526,44182.55373,21.6885
28904400,47869.67287,44014.33605,22.304
28905300,47965.88824,44178.15125,23.553
28906200,48153.40683,44433.26966,24.802
28907100,48400.17302,44747.63568,26.051
28908000,48674.13121,45089.1937,27.3
28908900,48735.28758,45215.24898,27.8385
28909800,48857.57068,45402.43098,28.377
28910700,49106.86031,45716.61952,28.9155
28911600,49549.03628,46223.69439,29.454
28912500,51382.07956,48103.99128,31.56375
28913400,53430.55864,50199.72397,33.6735
28914300,55650.81157,52467.2305,35.78325
28915200,57999.39747,54863.07001,37.893
28916100,58487.14675,55028.78867,39.54325
28917000,58951.57282,55171.18411,41.1935
28917900,59284.57089,55182.15156,42.84375
28918800,59377.81511,54953.36516,44.494
28919700,59318.82312,54780.27253,44.4125
28920600,58980.50519,54327.85395,44.331
28921500,58431.28346,53664.53158,44.2495
28922400,57739.80115,52858.94862,44.168
28923300,56878.85022,51794.16411,43.88675
28924200,55910.23667,50621.71696,43.6055
28925100,54799.91522,49307.56192,43.32425
28926000,53514.06168,47817.87478,43.043
28926900,51988.83541,46028.04005,42.43225
28927800,50348.31949,44122.91566,41.8215
28928700,48686.69108,42196.67878,41.21075
28929600,47098.12735,40343.50658,40.6
28930500,45585.18171,38543.58125,39.3185
28931400,44250.3105,36921.73035,38.037
28932300,43104.23577,35488.67592,36.7555
28933200,42157.67957,34255.14003,35.474
28934100,41777.33855,33806.42471,34.354
28935000,41482.77392,33443.48578,33.234
28935900,41149.52149,33041.85904,32.114
28936800,40653.11707,32477.08031,30.994
28937700,39772.23658,31400.96704,29.5625
28938600,38683.43679,30116.93446,28.131
28939500,37466.30403,28704.5689,26.6995
28940400,36200.6457,27243.67779,25.268
28941300,35073.25816,26083.82648,23.73575
28942200,33974.83121,24952.93575,22.2035
28943100,32903.04357,23848.68435,20.67125
28944000,31855.57398,22768.75099,19.139
28944900,30616.38931,21222.19466,18.175
28945800,29418.32425,19716.75795,17.211
28946700,28280.61216,18271.67421,16.247
28947600,27222.48642,16906.17681,15.283
28948500,25984.66783,15191.90412,14.65575
28949400,24830.4149,13561.1971,14.0285
28950300,23744.80518,11999.13328,13.40125
28951200,22712.4741,10490.34811,12.774
28952100,22402.23327,10089.28837,11.07225
28953000,22135.32279,9731.558979,9.3705
28953900,21916.60625,9422.023535,7.66875
28954800,21750.94728,9165.54565,5.967
28955700,22139.07165,9802.427816,5.51625
28956600,22563.45202,10475.56598,5.0655
28957500,23002.53375,11163.40551,4.61475
28958400,23434.54114,11844.1707,4.164
28959300,23797.3951,12484.80258,4.554
28960200,24115.3712,13080.55661,4.944
28961100,24372.77326,13615.7366,5.334
